x,y,dir,ref,pt
-113,-24.248711306,0,False,7
-114.5,-25.1147367097,10,False,7
-119,-25.9807621135,8,False,7
-119,-24.248711306,6,False,7
-105.5,-23.3826859022,2,False,3
-105.5,-23.3826859022,8,True,11
-107,-24.248711306,6,False,7
-105.5,-23.3826859022,4,False,7
-104,-24.248711306,2,False,7
-101,-27.7128129211,0,False,7
-102.5,-28.5788383249,10,False,7
-101,-25.9807621135,2,False,7
-110,-31.1769145362,0,False,3
-110,-31.1769145362,10,True,11
-111.5,-30.3108891325,4,False,7
-110,-31.1769145362,2,False,7
-110,-32.9089653438,0,False,7
-111.5,-37.2390923627,10,False,7
-113,-36.3730669589,8,False,7
-110,-36.3730669589,0,False,7
-119,-31.1769145362,10,False,3
-119,-31.1769145362,0,True,11
-119,-29.4448637287,2,False,7
-119,-31.1769145362,0,False,7
-120.5,-32.04293994,10,False,7
-125,-32.9089653438,8,False,7
-125,-31.1769145362,6,False,7
-123.5,-33.7749907476,10,False,7
-132.5,-32.04293994,8,False,3
-132.5,-32.04293994,2,True,11
-131,-31.1769145362,0,False,7
-132.5,-32.04293994,10,False,7
-134,-31.1769145362,8,False,7
-137,-27.7128129211,6,False,7
-135.5,-26.8467875173,4,False,7
-137,-29.4448637287,8,False,7
-128,-24.248711306,6,False,3
-128,-24.248711306,4,True,11
-126.5,-25.1147367097,10,False,7
-128,-24.248711306,8,False,7
-128,-22.5166604984,6,False,7
-126.5,-18.1865334795,4,False,7
-125,-19.0525588833,2,False,7
-128,-19.0525588833,6,False,7
-128,-39.8371685741,10,False,3
-128,-39.8371685741,0,True,11
-128,-38.1051177665,2,False,7
-128,-39.8371685741,0,False,7
-129.5,-40.7031939779,10,False,7
-134,-41.5692193817,8,False,7
-134,-39.8371685741,6,False,7
-132.5,-42.4352447854,10,False,7
-78.5,-11.2583302492,2,False,3
-78.5,-11.2583302492,8,True,11
-80,-12.124355653,6,False,7
-78.5,-11.2583302492,4,False,7
-77,-12.124355653,2,False,7
-74,-15.5884572681,0,False,7
-75.5,-16.4544826719,10,False,7
-83,-5.19615242271,6,False,3
-83,-5.19615242271,4,True,11
-81.5,-6.06217782649,10,False,7
-83,-5.19615242271,8,False,7
-83,-3.46410161514,6,False,7
-81.5,0.866025403784,4,False,7
-80,1.11022302463e-16,2,False,7
-83,4.4408920985e-16,6,False,7
-74,-5.19615242271,4,False,3
-74,-5.19615242271,6,True,11
-74,-6.92820323028,8,False,7
-74,-5.19615242271,6,False,7
-72.5,-4.33012701892,4,False,7
-68,-3.46410161514,2,False,7
-68,-5.19615242271,0,False,7
-69.5,-2.59807621135,4,False,7
